13109	20355	21337	22043	22401	22658	22997	23158	23492	23664	23699	23904	23960	23992	23994	24001	24002
14457	22038	22627	23114	23238	23312	23440	23490	23964	23976	24048	24111	24252	24538	24540	24550	0
16075	22672	23753	24052	24206	24757	24786	24807	24823	24888	24986	25401	25681	25705	25732	0	0
15682	23464	24465	25052	25529	25708	25752	25770	25835	26075	26082	26146	26150	26167	0	0	0
16551	23706	24627	25573	26046	26115	26283	26481	26701	26718	26724	26728	26735	0	0	0	0
15439	23796	24866	25317	26139	26154	26175	26205	26764	26818	26836	26959	0	0	0	0	0
14629	21645	22826	23599	24992	25434	25476	25549	25604	25709	25723	0	0	0	0	0	0
17585	26288	27623	27939	28335	28638	28715	28759	29525	30302	0	0	0	0	0	0	0
17419	25941	27066	27761	28043	28477	28721	28878	28948	0	0	0	0	0	0	0	0
16665	25370	26909	27611	27729	27861	29830	29844	0	0	0	0	0	0	0	0	0
15471	23745	25117	26378	26971	27396	27480	0	0	0	0	0	0	0	0	0	0
15103	23393	26809	27691	28061	29183	0	0	0	0	0	0	0	0	0	0	0
14540	22642	23571	24127	24210	0	0	0	0	0	0	0	0	0	0	0	0
14590	22336	23440	24029	0	0	0	0	0	0	0	0	0	0	0	0	0
13967	21515	22603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12930	20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
